filename,learning_rate,epoch,l1_penalty,l2_penalty,accuracy,accuracy_std,recall,recall_std,specificity,specificity_std,auc,auc_std,balanced_accuracy,balanced_accuracy_std,f1,f1_std
Model-241.npz,0.1,150,2.0,0,0.6686946386946389,0.038407399913758314,0.24960474308300395,0.08652448367582165,0.8937984496124031,0.06051306517242206,0.740112886776183,0.07195986378567978,0.5717015963477036,0.042083249178173535,0.33871002563587826,0.09765421490566725
Model-243.npz,0.1,150,2.0,0.03,0.6626573426573428,0.02804996911264516,0.21462450592885376,0.08304723132955694,0.9031007751937985,0.061089029522924915,0.6729944979186636,0.10023395848730053,0.5588626405613261,0.028732531422768045,0.2969327033286989,0.10784667545992017
Model-247.npz,0.1,150,2.0,2.0,0.6625174825174825,0.031110944222384702,0.32806324110671936,0.15205580345374667,0.8422480620155038,0.07119832489757215,0.6561273576440413,0.07650303585999331,0.5851556515611115,0.05217212064528572,0.38721678321678327,0.11251496877572283
Model-246.npz,0.1,150,2.0,1.0,0.6457808857808859,0.06586764230016638,0.24565217391304345,0.18159474585144736,0.8613510520487265,0.08607087996252523,0.616316275568045,0.13962247100827793,0.553501612980885,0.08306935817572648,0.3020118975280266,0.1715004430943123
Model-244.npz,0.1,150,2.0,0.05,0.6519813519813521,0.03610902435023654,0.2274703557312253,0.09972093887515776,0.8796234772978959,0.06028128098558675,0.644551757645792,0.1607118564037582,0.5535469165145606,0.042632299864726976,0.3028163058487602,0.11955213186500009
Model-248.npz,0.1,150,2.0,3.0,0.6274825174825176,0.06367899474550134,0.18458498023715414,0.16407495022742136,0.8653931339977852,0.08381947433900067,0.5423526759724939,0.14984859223827476,0.5249890571174696,0.07716022922158888,0.22923905866817584,0.19317807907869775
Model-245.npz,0.1,150,2.0,0.07,0.6518414918414919,0.03628797939105979,0.2102766798418972,0.0816384958601738,0.8890919158361019,0.07262978643193693,0.7302428444491134,0.06978524168347315,0.5496842978389995,0.03157443950487906,0.28843757795370706,0.0896928929811927
Model-249.npz,0.1,150,3.0,0,0.680955710955711,0.04376081137514944,0.27154150197628457,0.1366474676875094,0.9014396456256921,0.0622134359144785,0.7168715174276348,0.08723641876207872,0.5864905738009883,0.05939003682143462,0.3575901386195504,0.12729756585012283
Model-250.npz,0.1,150,3.0,0.01,0.680932400932401,0.046601488147620614,0.2891304347826087,0.16300706264787954,0.8918604651162789,0.06092924730490093,0.7350071566451748,0.08317756576681398,0.5904954499494439,0.06823130276773408,0.3652896717706773,0.16021840385068778
Model-254.npz,0.1,150,3.0,1.0,0.6563403263403265,0.047092253073074346,0.26739130434782604,0.1431791926589013,0.8657253599114064,0.04560112472789861,0.6297948428383211,0.09355944632828844,0.5665583321296163,0.06533595026412507,0.3361897296076613,0.14519694025655924
Model-251.npz,0.1,150,3.0,0.03,0.677972027972028,0.0275747329403121,0.24031620553359678,0.09516667038540444,0.9125692137320044,0.04139472816795035,0.7244177292205605,0.05885507193146059,0.5764427096328006,0.040196976414462196,0.3325888251403444,0.11482272836850461
